             Bz    T(K)    Den    Vsw  Kp   Dst
2018   5  5   2.2   39631.   5.3  368. 17    -6
2018   5  6  -0.7   38195.   5.0  367. 13    -6
2018   5  7  -1.7   38143.   4.9  364. 13    -8
2018   5  8  -0.2   35228.   5.4  361. 13    -8
2018   5  9  -1.3   30946.   7.5  361.  7    -6
2018   5 10  -1.9   26120.   9.0  361.  7    -3
2018   5 11  -2.2   24166.   9.2  360.  7    -2
2018   5 12  -0.8   17432.  10.4  358.  7     0
2018   5 13  -0.7   19559.  10.1  357.  7    -3
2018   5 14  -0.8   18409.  10.4  355.  7    -2
2018   5 15  -0.3   15330.  13.0  350. 13    -3
2018   5 16  -0.2   12854.  13.3  347. 13    -4
2018   5 17  -0.9   12405.  12.5  343. 13    -5
2018   5 18  -1.3   12160.  12.6  339. 10    -5
2018   5 19  -2.0   10857.  12.6  337. 10     0
2018   5 20  -2.4   11575.  14.0  337. 10     2
2018   5 21  -2.3   11038.  15.4  336. 20     1
2018   5 22  -0.9   11392.  16.1  332. 20     3
2018   5 23  -0.5   11502.  16.2  331. 20     3
2018   6  0   1.0   11035.  16.2  328. 13     0
2018   6  1   0.6   11120.  15.1  323. 13    -5
2018   6  2   0.4   14720.  11.3  315. 13    -6
2018   6  3  -0.4   18173.   7.3  311.  0    -5
2018   6  4  -0.5   19138.   7.3  308.  0    -3
2018   6  5  -1.0   20219.   7.3  310.  0     1
2018   6  6  -1.8   22996.   8.2  312.  7     2
2018   6  7  -2.3   24465.   9.2  317.  7     0
2018   6  8  -1.0   25520.   9.5  313.  7     0
2018   6  9  -1.4   24027.   9.1  305.  0    -2
2018   6 10  -0.7   25239.   8.9  303.  0    -5
2018   6 11   0.4   20726.   7.4  302.  0    -8
2018   6 12  -1.5   24908.   9.3  304.  3    -9
2018   6 13  -1.4   28701.   9.3  305.  3    -7
2018   6 14   0.5   22549.   9.2  301.  3    -7
2018   6 15  -0.2   22885.   8.8  300.  0    -3
2018   6 16   0.0   20602.   9.1  297.  0     0
2018   6 17   0.2   21972.   9.7  297.  0    -1
2018   6 18  -0.6   19822.   9.5  298.  3    -2
2018   6 19  -1.4   19443.  10.0  297.  3    -2
2018   6 20  -1.2   18433.  10.1  294.  3    -2
2018   6 21  -1.1   16027.  10.8  294.  3    -1
2018   6 22  -1.1   14112.  10.9  295.  3    -1
2018   6 23  -1.2   12800.  11.1  293.  3    -2
2018   7  0  -0.7   12753.  11.0  292. 10    -2
2018   7  1  -0.1   13510.  11.8  292. 10     0
2018   7  2   0.3   13127.  11.4  290. 10     3
2018   7  3   1.1   12986.  11.6  290.  0     3
2018   7  4   0.6   13469.  11.7  288.  0     4
2018   7  5   1.2   12493.  11.3  288.  0     6
2018   7  6   1.4   14634.  13.8  288.  0     7
2018   7  7   1.0   16158.  12.3  286.  0     5
2018   7  8   1.1   15234.  11.7  286.  0     5
2018   7  9   0.1   16704.  11.2  286.  0     4
2018   7 10  -0.5   14459.  10.7  285.  0     2
2018   7 11   0.5   11785.   9.9  285.  0     0
2018   7 12   0.4   13844.  10.2  287.  3     2
2018   7 13   1.3   16599.  12.1  286.  3     2
2018   7 14   1.2   13624.  11.5  286.  3     2
2018   7 15   0.6   19023.  14.6  286.  7     3
2018   7 16   0.7   18306.  13.8  288.  7     2
2018   7 17   0.9   15283.  13.6  292.  7     3
2018   7 18  -3.2   20453.  14.5  296.  7     3
2018   7 19  -1.0   21847.  14.9  295.  7     2
2018   7 20   0.5   21542.  15.7  292.  7     5
2018   7 21   2.3   20529.  16.2  292.  3     6
2018   7 22   1.8   19908.  18.1  294.  3     7
2018   7 23   1.9   17991.  22.2  296.  3     9
2018   8  0   0.9   16803.  23.5  296.  3     7
2018   8  1   0.5   16356.  24.4  293.  3     7
2018   8  2   1.6   16440.  22.9  291.  3    10
2018   8  3   1.4   19155.  19.6  296.  7    10
2018   8  4   1.4   17748.  14.0  301.  7    11
2018   8  5   1.0   18113.  13.4  301.  7    10
2018   8  6   4.0   16047.  14.9  298. 23    15
2018   8  7   4.4   35084.  33.5  332. 23    32
2018   8  8   2.1   39401.  43.2  345. 23    29
2018   8  9   8.7   42538.  49.6  350. 17    27
2018   8 10   8.4   68511.  39.0  362. 17    26
2018   8 11   7.4   81971.  37.9  374. 17    25
2018   8 12   8.7   86153.  39.0  372. 37    27
2018   8 13  -1.5   82342.  29.2  377. 37    18
2018   8 14  -6.9  315624.  10.8  392. 37    -1
2018   8 15  -1.2  207061.  24.6  405. 30    -9
2018   8 16   3.9  247735.  11.9  442. 30   -11
