2018 01 06      4.90000      7.91401
2018 01 06      5.10000      6.41478
2018 01 06      5.30000      4.94979
2018 01 06      5.50000      3.66682
2018 01 06      5.70000      2.57399
2018 01 06      5.90000      1.76031
2018 01 06      6.10000      1.26743
2018 01 06      6.30000     0.969544
2018 01 06      6.50000     0.000000
2018 01 06      6.70000     0.000000
2018 01 06      6.90000     0.000000
2018 01 06      7.10000     0.000000
2018 01 06      7.30000     0.000000
2018 01 06      7.50000     0.000000
2018 01 06      7.70000     0.000000
2018 01 06      7.90000     0.000000
2018 01 07      2.10000     0.891318
2018 01 07      2.30000     0.534683
2018 01 07      2.50000     0.266622
2018 01 07      2.70000     0.271828
2018 01 07      2.90000     0.329750
2018 01 07      3.10000     0.465035
2018 01 07      3.30000     0.641431
2018 01 07      3.50000      1.13405
2018 01 07      3.70000      2.69501
2018 01 07      3.90000      5.60167
2018 01 07      4.10000      8.22153
2018 01 07      4.30000      9.79001
2018 01 07      4.50000      10.0417
2018 01 07      4.70000      9.31546
2018 01 07      4.90000      8.08644
2018 01 07      5.10000      6.57839
2018 01 07      5.30000      5.09119
2018 01 07      5.50000      3.72867
2018 01 07      5.70000      2.56645
2018 01 07      5.90000      1.72564
2018 01 07      6.10000      1.21207
2018 01 07      6.30000     0.876993
2018 01 07      6.50000     0.615396
2018 01 07      6.70000     0.530715
2018 01 07      6.90000     0.000000
2018 01 07      7.10000     0.000000
2018 01 07      7.30000     0.000000
2018 01 07      7.50000     0.000000
2018 01 07      7.70000     0.000000
2018 01 07      7.90000     0.000000
2018 01 08      2.10000     0.147536
2018 01 08      2.30000     0.158852
2018 01 08      2.50000     0.176175
2018 01 08      2.70000     0.221297
2018 01 08      2.90000     0.326565
2018 01 08      3.10000     0.447362
2018 01 08      3.30000     0.687724
2018 01 08      3.50000      1.25391
2018 01 08      3.70000      3.03210
2018 01 08      3.90000      5.73287
2018 01 08      4.10000      8.21852
2018 01 08      4.30000      9.15514
2018 01 08      4.50000      9.38906
2018 01 08      4.70000      8.92854
2018 01 08      4.90000      7.88294
2018 01 08      5.10000      6.56724
2018 01 08      5.30000      5.23729
2018 01 08      5.50000      3.61978
2018 01 08      5.70000      2.41264
2018 01 08      5.90000      1.25786
2018 01 08      6.10000     0.797532
2018 01 08      6.30000     0.000000
2018 01 08      6.50000     0.000000
2018 01 08      6.70000     0.000000
2018 01 08      6.90000     0.000000
2018 01 08      7.10000     0.000000
2018 01 08      7.30000     0.000000
2018 01 08      7.50000     0.000000
2018 01 08      7.70000     0.000000
2018 01 08      7.90000     0.000000
2018 01 09      2.10000     0.771899
2018 01 09      2.30000     0.487424
2018 01 09      2.50000     0.253596
2018 01 09      2.70000     0.269576
2018 01 09      2.90000     0.334597
2018 01 09      3.10000     0.435300
2018 01 09      3.30000     0.618957
2018 01 09      3.50000      1.25778
2018 01 09      3.70000      2.79680
2018 01 09      3.90000      4.40301
2018 01 09      4.10000      4.95174
2018 01 09      4.30000      4.31149
2018 01 09      4.50000      3.30859
2018 01 09      4.70000      2.23484
2018 01 09      4.90000      1.46774
2018 01 09      5.10000     0.998585
2018 01 09      5.30000     0.656259
2018 01 09      5.50000     0.477131
2018 01 09      5.70000     0.328302
2018 01 09      5.90000     0.241606
2018 01 09      6.10000     0.234846
2018 01 09      6.30000     0.202196
2018 01 09      6.50000     0.180074
2018 01 09      6.70000     0.000000
2018 01 09      6.90000     0.000000
2018 01 09      7.10000     0.000000
2018 01 09      7.30000     0.000000
2018 01 09      7.50000     0.000000
2018 01 09      7.70000     0.000000
2018 01 09      7.90000     0.000000
2018 01 10      2.10000     0.163270
2018 01 10      2.30000     0.138613
2018 01 10      2.50000     0.153168
2018 01 10      2.70000     0.217213
2018 01 10      2.90000     0.285196
2018 01 10      3.10000     0.435549
2018 01 10      3.30000     0.639599
2018 01 10      3.50000      1.24265
2018 01 10      3.70000      2.71404
2018 01 10      3.90000      4.11289
2018 01 10      4.10000      4.40043
2018 01 10      4.30000      3.90634
2018 01 10      4.50000      3.04844
2018 01 10      4.70000      2.23736
2018 01 10      4.90000      1.57669
2018 01 10      5.10000      1.11431
2018 01 10      5.30000     0.788128
2018 01 10      5.50000     0.573271
2018 01 10      5.70000     0.443224
2018 01 10      5.90000     0.391107
2018 01 10      6.10000     0.437410
2018 01 10      6.30000     0.000000
2018 01 10      6.50000     0.000000
2018 01 10      6.70000     0.000000
2018 01 10      6.90000     0.000000
2018 01 10      7.10000     0.000000
2018 01 10      7.30000     0.000000
2018 01 10      7.50000     0.000000
2018 01 10      7.70000     0.000000
2018 01 10      7.90000     0.000000
2018 01 11      2.10000     0.584206
2018 01 11      2.30000     0.476410
2018 01 11      2.50000     0.226356
2018 01 11      2.70000     0.287978
2018 01 11      2.90000     0.332505
2018 01 11      3.10000     0.451961
2018 01 11      3.30000     0.659757
2018 01 11      3.50000      1.28796
2018 01 11      3.70000      2.74538
2018 01 11      3.90000      4.09546
2018 01 11      4.10000      4.34803
2018 01 11      4.30000      3.70651
2018 01 11      4.50000      2.97340
2018 01 11      4.70000      2.25001
2018 01 11      4.90000      1.58825
2018 01 11      5.10000      1.10076
2018 01 11      5.30000     0.804728
2018 01 11      5.50000     0.634544
2018 01 11      5.70000     0.557341
2018 01 11      5.90000     0.478761
2018 01 11      6.10000     0.459147
2018 01 11      6.30000     0.421794
2018 01 11      6.50000     0.382768
2018 01 11      6.70000     0.000000
2018 01 11      6.90000     0.000000
2018 01 11      7.10000     0.000000
2018 01 11      7.30000     0.000000
2018 01 11      7.50000     0.000000
2018 01 11      7.70000     0.000000
2018 01 11      7.90000     0.000000
2018 01 12      2.10000     0.170376
2018 01 12      2.30000     0.162628
2018 01 12      2.50000     0.160192
2018 01 12      2.70000     0.201283
2018 01 12      2.90000     0.286737
2018 01 12      3.10000     0.350920
2018 01 12      3.30000     0.570635
2018 01 12      3.50000      1.15568
2018 01 12      3.70000      2.43531
2018 01 12      3.90000      3.57909
2018 01 12      4.10000      3.74709
2018 01 12      4.30000      3.57126
2018 01 12      4.50000      2.81958
2018 01 12      4.70000      2.10485
2018 01 12      4.90000      1.51255
2018 01 12      5.10000      1.09820
2018 01 12      5.30000     0.846344
2018 01 12      5.50000     0.688735
2018 01 12      5.70000     0.587037
2018 01 12      5.90000     0.532260
2018 01 12      6.10000     0.495114
2018 01 12      6.30000     0.000000
2018 01 12      6.50000     0.000000
2018 01 12      6.70000     0.000000
2018 01 12      6.90000     0.000000
2018 01 12      7.10000     0.000000
2018 01 12      7.30000     0.000000
2018 01 12      7.50000     0.000000
2018 01 12      7.70000     0.000000
